TP_FUNDO;CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
FI;00.017.024/0001-53;2024-02-01;1143827.67;34.571524200000;1145999.98;0.00;0.00;1
FI;00.068.305/0001-35;2024-02-01;37843457.39;35.680409000000;37831032.89;0.00;0.00;5992
FI;00.068.305/0001-35;2024-02-08;37889437.07;35.747411000000;37876667.74;0.00;0.00;5991
FI;00.068.305/0001-35;2024-02-09;37905095.24;35.761506000000;37889997.58;0.00;1604.77;5989
FI;00.071.477/0001-68;2024-02-01;1645821860.82;12.724729839000;1645683399.86;214828.28;3162517.14;45118
FI;00.083.181/0001-67;2024-02-27;19439083366.36;940.869752440000;19438857777.69;0.00;0.00;4
FI;00.089.915/0001-15;2024-02-29;18384305.54;104.962677900000;18377739.90;0.00;0.00;107
FI;00.102.322/0001-41;2024-02-01;62157327.86;6.749406800000;64134478.21;0.00;0.00;1
FI;00.180.995/0001-10;2024-02-22;119420456.94;730.972578000000;119428322.02;96592.23;585596.66;809
FI;97.929.213/0001-34;2024-02-29;81542271.57;11.741044120000;84396211.16;0.00;0.00;2
